Proto,Port,Program
tcp,36145,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,36180,/usr/bin/google_guest_agent
tcp,36200,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,36256,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,36288,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,36323,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,36470,/usr/bin/google_guest_agent
tcp,36522,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,36564,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,36706,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,36718,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,36782,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,36794,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36794,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,36808,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36810,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,36812,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,36822,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36823,/var/vcap/data/packages/reverse_log_proxy_gateway/<GUID>/rlp-gateway
tcp,36834,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36844,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36860,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36864,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36870,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36886,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36898,/var/vcap/data/packages/openjdk_17.0/<GUID>/jre/bin/java
tcp,36916,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,36990,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,37082,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,37084,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_orchestrator
tcp,37092,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,37098,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,37158,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,37200,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,37250,/usr/bin/google_guest_agent
tcp,37380,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,37380,/var/vcap/data/packages/udp-forwarder/<GUID>/udp-forwarder
tcp,37386,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,37392,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,37396,/var/vcap/data/packages/vxlan-policy-agent/<GUID>/bin/vxlan-policy-agent
tcp,37462,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,37482,/var/vcap/data/packages/uaa/<GUID>/jdk/bin/java
tcp,37574,/var/vcap/data/packages/bbs/<GUID>/bin/bbs
tcp,37667,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,37724,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,37752,/var/vcap/data/packages/log-cache/<GUID>/log-cache
tcp,37754,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,37806,/usr/bin/google_guest_agent
tcp,38054,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,38058,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38080,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,38098,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38200,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38258,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,38266,/var/vcap/data/packages/tps/<GUID>/bin/tps-watcher
tcp,38280,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,38344,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,38346,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38348,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,38444,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,38450,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,38452,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,38466,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,38468,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,38482,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,38564,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38566,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,38692,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,38696,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38844,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,38850,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server-asg-syncer
tcp,38900,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,38904,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,38916,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,38920,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,38964,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,39120,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39132,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39140,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39144,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39156,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39211,/var/vcap/data/packages/doppler/<GUID>/doppler
tcp,39216,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_orchestrator
tcp,39220,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_orchestrator
tcp,39314,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,39340,/var/vcap/data/packages/openjdk_1.8.0/<GUID>/jre/bin/java
tcp,39416,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,39428,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,39434,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,39604,/usr/bin/google_guest_agent
tcp,39610,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,39620,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
